ClienteID,Genero,Idoso,Casado,Dependentes,Tempo_como_Cliente,Servico_Telefonia,Servico_Internet,Servico_Seguranca,Suporte_Tecnico,StreamingTV,Tipo_Contrato,Metodo_Pagamento,Pagamento_Mensal,Total_Pago,Churn
4080-IIARD,female,0,Yes,No,13,Yes,dsl,Yes,Yes,Yes,Month-to-month,Electronic check,65.60756321839081,981.45,0
3714-NTNFO,female,0,No,No,49,Yes,fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,3906.7,0
5948-UJZLF,male,0,No,No,2,Yes,dsl,No,No,No,Month-to-month,Mailed check,65.60756321839081,97.0,0
7760-OYPDY,female,0,No,No,2,Yes,fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,144.15,1
7639-LIAYI,male,0,No,No,52,Yes,dsl,Yes,Yes,Yes,Two year,Credit card (automatic),65.60756321839081,4217.8,0
2954-PIBKO,female,0,Yes,Yes,69,Yes,dsl,Yes,Yes,No,Two year,Credit card (automatic),65.60756321839081,4254.1,0
8012-SOUDQ,female,1,No,No,43,Yes,fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,3838.75,0
9420-LOJKX,female,0,No,No,15,Yes,fiber optic,Yes,No,Yes,Month-to-month,Credit card (automatic),65.60756321839081,1426.4,1
6575-SUVOI,female,1,Yes,No,25,Yes,dsl,Yes,Yes,Yes,Month-to-month,Credit card (automatic),65.60756321839081,1752.65,0
7495-OOKFY,female,1,Yes,No,8,Yes,fiber optic,No,No,No,Month-to-month,Credit card (automatic),65.60756321839081,633.3,1
4667-QONEA,female,1,Yes,Yes,60,Yes,dsl,Yes,Yes,No,One year,Credit card (automatic),65.60756321839081,4456.35,0
1658-BYGOY,male,1,No,No,18,Yes,fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,1752.55,1
8769-KKTPH,female,0,Yes,Yes,63,Yes,fiber optic,Yes,No,Yes,One year,Credit card (automatic),65.60756321839081,6311.2,0
5067-XJQFU,male,1,Yes,Yes,66,Yes,fiber optic,No,Yes,Yes,One year,Electronic check,65.60756321839081,7076.35,0
3957-SQXML,female,0,Yes,Yes,34,Yes,no,No,No,No,Two year,Credit card (automatic),65.60756321839081,894.3,0
5954-BDFSG,female,0,No,No,72,Yes,fiber optic,No,Yes,Yes,Two year,Credit card (automatic),65.60756321839081,7853.7,0
0434-CSFON,female,0,Yes,No,47,Yes,fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,4707.1,0
1215-FIGMP,male,0,No,No,60,Yes,fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),65.60756321839081,5450.7,0
0526-SXDJP,male,0,Yes,No,72,No,dsl,Yes,No,No,Two year,Bank transfer (automatic),65.60756321839081,2962.0,0
0557-ASKVU,female,0,Yes,Yes,18,Yes,dsl,No,Yes,No,One year,Credit card (automatic),65.60756321839081,957.1,0
5698-BQJOH,female,0,No,No,9,Yes,fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,857.25,1
5122-CYFXA,female,0,No,No,3,Yes,dsl,No,Yes,Yes,Month-to-month,Electronic check,65.60756321839081,244.1,0
8627-ZYGSZ,male,0,Yes,No,47,Yes,fiber optic,No,No,No,One year,Electronic check,65.60756321839081,3650.35,0
3410-YOQBQ,female,0,No,No,31,Yes,dsl,No,Yes,Yes,Two year,Mailed check,65.60756321839081,2497.2,0
3170-NMYVV,female,0,Yes,Yes,50,Yes,no,No,No,No,Two year,Bank transfer (automatic),65.60756321839081,930.9,0
7410-OIEDU,male,0,No,No,10,Yes,fiber optic,Yes,No,No,Month-to-month,Mailed check,65.60756321839081,887.35,0
2273-QCKXA,male,0,No,No,1,Yes,dsl,No,Yes,No,Month-to-month,Mailed check,65.60756321839081,49.05,0
0731-EBJQB,female,0,Yes,Yes,52,Yes,no,No,No,No,One year,Electronic check,65.60756321839081,1090.65,0
1891-QRQSA,male,1,Yes,Yes,64,Yes,fiber optic,Yes,Yes,Yes,Two year,Bank transfer (automatic),65.60756321839081,7099.0,0
8028-PNXHQ,male,0,Yes,Yes,62,Yes,no,No,No,No,Two year,Bank transfer (automatic),65.60756321839081,1424.6,0
5630-AHZIL,female,0,No,Yes,3,Yes,dsl,Yes,Yes,No,Month-to-month,Bank transfer (automatic),65.60756321839081,177.4,0
2673-CXQEU,female,1,No,No,56,Yes,fiber optic,Yes,No,Yes,One year,Electronic check,65.60756321839081,6139.5,0
6416-JNVRK,female,0,No,No,46,Yes,dsl,No,No,No,One year,Credit card (automatic),65.60756321839081,2688.85,0
5590-ZSKRV,female,0,Yes,Yes,8,Yes,dsl,Yes,No,No,Month-to-month,Mailed check,65.60756321839081,482.25,0
0191-ZHSKZ,male,1,No,No,30,Yes,dsl,Yes,No,Yes,Month-to-month,Electronic check,65.60756321839081,2111.3,0
3887-PBQAO,female,0,Yes,Yes,45,Yes,no,No,No,No,One year,Credit card (automatic),65.60756321839081,1216.6,0
5919-TMRGD,female,0,No,Yes,1,Yes,fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,79.35,1
8108-UXRQN,female,0,Yes,Yes,11,No,dsl,Yes,No,Yes,Month-to-month,Electronic check,65.60756321839081,565.35,0
9191-MYQKX,female,0,Yes,No,7,Yes,fiber optic,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,496.9,1
9919-YLNNG,female,0,No,No,42,Yes,fiber optic,No,Yes,Yes,Month-to-month,Bank transfer (automatic),65.60756321839081,4327.5,0
0318-ZOPWS,female,0,Yes,No,49,Yes,no,No,No,No,Two year,Bank transfer (automatic),65.60756321839081,973.35,0
4445-ZJNMU,male,0,No,No,9,Yes,fiber optic,No,No,Yes,Month-to-month,Credit card (automatic),65.60756321839081,918.75,0
4808-YNLEU,female,0,Yes,No,35,Yes,dsl,Yes,No,Yes,One year,Bank transfer (automatic),65.60756321839081,2215.45,0
1862-QRWPE,female,0,Yes,Yes,48,Yes,no,No,No,No,Two year,Bank transfer (automatic),65.60756321839081,1057.0,0
2796-NNUFI,female,0,Yes,Yes,46,Yes,no,No,No,No,Two year,Mailed check,65.60756321839081,927.1,0
3016-KSVCP,male,0,Yes,No,29,No,dsl,No,No,Yes,Month-to-month,Mailed check,65.60756321839081,1009.25,0
4767-HZZHQ,male,0,Yes,Yes,30,Yes,fiber optic,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,2570.2,0
2424-WVHPL,male,1,No,No,1,Yes,fiber optic,No,Yes,No,Month-to-month,Electronic check,65.60756321839081,74.7,0
7233-PAHHL,male,0,Yes,Yes,66,Yes,dsl,Yes,Yes,Yes,Two year,Mailed check,65.60756321839081,5714.25,0
6067-NGCEU,female,0,No,No,65,Yes,fiber optic,Yes,No,Yes,Month-to-month,Credit card (automatic),65.60756321839081,7107.0,0
9848-JQJTX,male,0,No,No,72,Yes,fiber optic,No,No,Yes,Two year,Bank transfer (automatic),65.60756321839081,7459.05,0
8637-XJIVR,female,0,No,No,12,Yes,fiber optic,Yes,No,No,Month-to-month,Electronic check,65.60756321839081,927.35,1
9803-FTJCG,male,0,Yes,Yes,71,Yes,dsl,Yes,Yes,No,One year,Credit card (automatic),65.60756321839081,4748.7,0
0278-YXOOG,male,0,No,No,5,Yes,no,No,No,No,Month-to-month,Mailed check,65.60756321839081,113.85,1
3212-KXOCR,male,0,No,No,52,Yes,no,No,No,No,Two year,Bank transfer (automatic),65.60756321839081,1107.2,0
4598-XLKNJ,female,1,Yes,No,25,Yes,fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,2514.5,1
6380-ARCEH,male,0,No,No,1,Yes,no,No,No,No,Month-to-month,Mailed check,65.60756321839081,20.2,0
3679-XASPY,female,0,Yes,Yes,1,Yes,no,No,No,No,Month-to-month,Electronic check,65.60756321839081,19.45,0
7123-WQUHX,male,0,No,No,38,Yes,fiber optic,No,Yes,Yes,One year,Bank transfer (automatic),65.60756321839081,3605.6,0
5386-THSLQ,female,1,Yes,No,66,No,dsl,No,No,Yes,One year,Bank transfer (automatic),65.60756321839081,3027.25,0
3192-NQECA,male,0,Yes,No,68,Yes,fiber optic,No,Yes,Yes,Two year,Bank transfer (automatic),65.60756321839081,7611.85,1
6180-YBIQI,male,0,No,No,5,No,dsl,No,No,No,Month-to-month,Mailed check,65.60756321839081,100.2,0
6728-DKUCO,female,0,Yes,Yes,72,Yes,fiber optic,Yes,No,Yes,One year,Electronic check,65.60756321839081,7303.05,0
9750-BOOHV,female,0,No,No,32,No,dsl,Yes,No,No,One year,Mailed check,65.60756321839081,927.65,0
8597-CWYHH,male,0,No,No,43,Yes,fiber optic,No,No,Yes,One year,Mailed check,65.60756321839081,3921.3,0
2848-YXSMW,male,0,Yes,Yes,72,Yes,no,No,No,No,Two year,Credit card (automatic),65.60756321839081,1363.25,0
0486-HECZI,male,0,Yes,No,55,Yes,fiber optic,Yes,No,Yes,Month-to-month,Electronic check,65.60756321839081,5238.9,1
4549-ZDQYY,female,0,No,No,52,Yes,dsl,Yes,Yes,No,One year,Credit card (automatic),65.60756321839081,3042.25,0
5712-AHQNN,female,0,No,No,43,Yes,fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,3954.1,0
4846-WHAFZ,female,1,Yes,No,37,Yes,fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,2868.15,1
5256-SKJGO,female,0,Yes,Yes,64,No,dsl,No,Yes,Yes,Two year,Electronic check,65.60756321839081,3423.5,0
3071-VBYPO,male,0,Yes,Yes,3,Yes,fiber optic,Yes,No,Yes,Month-to-month,Electronic check,65.60756321839081,248.4,0
9560-BBZXK,female,0,No,No,36,No,dsl,Yes,No,No,Two year,Bank transfer (automatic),65.60756321839081,1126.35,0
5299-RULOA,female,0,Yes,Yes,10,Yes,fiber optic,Yes,No,Yes,Month-to-month,Electronic check,65.60756321839081,1064.65,1
8402-OOOHJ,female,0,No,No,41,Yes,no,No,No,No,Two year,Mailed check,65.60756321839081,835.15,0
9445-ZUEQE,male,0,Yes,Yes,27,Yes,fiber optic,No,Yes,No,Month-to-month,Credit card (automatic),65.60756321839081,2151.6,0
1091-SOZGA,female,0,Yes,Yes,56,Yes,fiber optic,No,No,Yes,One year,Credit card (automatic),65.60756321839081,5515.45,0
2928-HLDBA,female,0,No,No,6,Yes,no,No,No,No,Month-to-month,Mailed check,65.60756321839081,112.75,0
0404-SWRVG,male,0,No,No,3,Yes,fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,229.55,1
6497-TILVL,female,0,Yes,Yes,7,Yes,dsl,Yes,No,No,Month-to-month,Mailed check,65.60756321839081,350.35,0
7219-TLZHO,female,0,Yes,Yes,4,Yes,no,No,No,No,Month-to-month,Mailed check,65.60756321839081,62.9,0
4622-YNKIJ,male,0,No,No,33,Yes,fiber optic,Yes,Yes,Yes,Two year,Electronic check,65.60756321839081,3027.65,0
4412-YLTKF,female,1,No,No,27,Yes,fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,2135.5,1
6734-PSBAW,male,0,Yes,No,72,Yes,no,No,No,No,Two year,Bank transfer (automatic),65.60756321839081,1723.95,0
3930-ZGWVE,male,0,No,No,1,Yes,no,No,No,No,Month-to-month,Mailed check,65.60756321839081,19.75,0
2639-UGMAZ,male,1,No,No,71,No,dsl,Yes,No,Yes,One year,Electronic check,65.60756321839081,3985.35,0
2876-GZYZC,female,0,No,No,13,Yes,fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,1215.65,0
6207-WIOLX,female,0,Yes,Yes,25,No,dsl,Yes,No,Yes,Month-to-month,Credit card (automatic),65.60756321839081,1502.65,1
8587-XYZSF,male,0,No,No,67,Yes,dsl,No,Yes,No,Two year,Bank transfer (automatic),65.60756321839081,3260.1,0
3091-FYHKI,male,0,No,No,1,No,dsl,No,No,No,Month-to-month,Electronic check,65.60756321839081,35.45,1
2372-HWUHI,male,0,No,No,2,Yes,dsl,No,No,No,Month-to-month,Electronic check,65.60756321839081,81.25,1
7799-LGRDP,female,0,No,No,43,Yes,no,No,No,No,Two year,Credit card (automatic),65.60756321839081,1188.2,0
7850-VWJUU,female,0,No,No,23,Yes,fiber optic,Yes,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,1778.5,0
3774-VBNXY,female,0,Yes,Yes,64,Yes,no,No,No,No,Two year,Mailed check,65.60756321839081,1277.75,0
6217-KDYWC,male,0,No,Yes,57,Yes,no,No,No,No,Two year,Mailed check,65.60756321839081,1170.55,0
0390-DCFDQ,female,1,Yes,No,1,Yes,fiber optic,No,No,No,Month-to-month,Mailed check,65.60756321839081,70.45,1
3146-MSEGF,female,1,Yes,Yes,72,Yes,dsl,Yes,Yes,Yes,Two year,Credit card (automatic),65.60756321839081,6425.65,0
4080-OGPJL,female,0,No,No,8,Yes,dsl,Yes,Yes,No,Month-to-month,Electronic check,65.60756321839081,563.65,1
1095-WGNGG,female,0,Yes,No,61,Yes,fiber optic,No,No,Yes,Two year,Bank transfer (automatic),65.60756321839081,5971.25,0
2636-SJDOU,male,0,No,No,64,Yes,fiber optic,Yes,No,No,One year,Credit card (automatic),65.60756321839081,5289.05,0
1131-QQZEB,male,1,Yes,No,71,Yes,no,No,No,No,Two year,Bank transfer (automatic),65.60756321839081,1756.2,0
5716-EZXZN,female,0,Yes,Yes,65,Yes,fiber optic,Yes,Yes,Yes,Two year,Credit card (automatic),65.60756321839081,6416.7,0
6837-BJYDQ,male,0,No,No,3,Yes,no,No,No,No,One year,Mailed check,65.60756321839081,61.35,0
2135-RXIHG,male,0,No,No,1,Yes,dsl,No,No,No,Month-to-month,Electronic check,65.60756321839081,45.65,1
6440-DKQGE,male,0,No,Yes,30,Yes,dsl,No,No,Yes,One year,Credit card (automatic),65.60756321839081,1929.95,0
3466-BYAVD,male,0,Yes,Yes,15,Yes,dsl,No,Yes,No,Month-to-month,Mailed check,65.60756321839081,1071.4,0
3780-YVMFA,female,0,Yes,Yes,8,Yes,dsl,No,Yes,Yes,Month-to-month,Electronic check,65.60756321839081,564.35,0
3874-EQOEP,male,0,No,No,7,Yes,fiber optic,No,No,Yes,Month-to-month,Mailed check,65.60756321839081,655.5,1
1679-JRFBR,female,0,Yes,Yes,70,Yes,fiber optic,Yes,No,Yes,One year,Credit card (automatic),65.60756321839081,7930.55,0
9073-ZZIAY,male,0,Yes,Yes,62,Yes,dsl,Yes,Yes,Yes,Two year,Electronic check,65.60756321839081,5215.25,0
3077-RSNTJ,female,0,Yes,Yes,6,Yes,no,No,No,No,Month-to-month,Mailed check,65.60756321839081,113.5,0
6551-GNYDG,female,0,Yes,Yes,14,Yes,fiber optic,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,1152.8,0
9167-APMXZ,female,0,No,No,22,Yes,fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),65.60756321839081,1821.95,0
2749-CTKAJ,male,0,Yes,Yes,22,Yes,no,No,No,No,One year,Mailed check,65.60756321839081,419.9,0
6371-NZYEG,male,0,Yes,Yes,16,Yes,dsl,Yes,No,Yes,Two year,Mailed check,65.60756321839081,1024.0,0
7554-NEWDD,male,0,No,No,10,Yes,no,No,No,No,Two year,Bank transfer (automatic),65.60756321839081,251.6,0
8992-VONJD,female,0,No,Yes,13,Yes,dsl,Yes,No,No,Month-to-month,Electronic check,65.60756321839081,764.55,0
0867-MKZVY,female,0,Yes,No,20,Yes,fiber optic,Yes,No,No,Month-to-month,Electronic check,65.60756321839081,1592.35,1
4482-EWFMI,female,0,No,No,2,Yes,fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,135.2,0
4648-YPBTM,male,0,No,No,53,Yes,dsl,No,Yes,No,Two year,Bank transfer (automatic),65.60756321839081,3958.25,0
2907-ILJBN,female,0,Yes,Yes,11,Yes,no,No,No,No,One year,Mailed check,65.60756321839081,233.9,0
6345-FZOQH,male,0,Yes,No,69,Yes,no,No,No,No,Two year,Mailed check,65.60756321839081,1363.45,0
3376-BMGFE,female,0,No,No,4,Yes,fiber optic,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,273.0,1
5997-OPVFA,male,0,Yes,No,72,Yes,dsl,Yes,Yes,Yes,Two year,Bank transfer (automatic),65.60756321839081,6254.45,0
3445-HXXGF,male,1,Yes,No,58,Yes,dsl,No,No,No,Month-to-month,Electronic check,65.60756321839081,2651.2,1
1159-WFSGR,female,0,Yes,Yes,16,Yes,no,No,No,No,Month-to-month,Electronic check,65.60756321839081,321.4,0
7654-YWJUF,male,0,Yes,No,43,Yes,fiber optic,Yes,Yes,No,One year,Bank transfer (automatic),65.60756321839081,3539.25,0
1875-QIVME,female,0,Yes,No,2,Yes,fiber optic,No,Yes,Yes,Month-to-month,Electronic check,65.60756321839081,242.8,1
6727-IOTLZ,male,0,Yes,No,14,Yes,dsl,No,Yes,Yes,Two year,Mailed check,65.60756321839081,1181.75,0
0691-JVSYA,female,0,Yes,No,53,Yes,fiber optic,No,No,Yes,One year,Bank transfer (automatic),65.60756321839081,5000.2,1
5918-VUKWP,female,0,No,No,32,Yes,no,No,No,No,One year,Bank transfer (automatic),65.60756321839081,654.55,0
1744-JHKYS,female,0,Yes,No,34,Yes,no,No,No,No,Month-to-month,Electronic check,65.60756321839081,780.2,0
2656-FMOKZ,female,1,No,No,15,Yes,fiber optic,No,No,No,Month-to-month,Mailed check,65.60756321839081,1145.7,1
2070-FNEXE,female,1,No,No,7,Yes,fiber optic,Yes,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,503.6,1
5947-SGKCL,female,0,Yes,Yes,15,Yes,fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),65.60756321839081,1559.25,0
3712-PKXZA,male,0,Yes,No,61,Yes,no,No,No,No,One year,Credit card (automatic),65.60756321839081,1252.0,0
6317-YPKDH,female,0,No,No,1,Yes,dsl,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,29.95,1
6582-OIVSP,female,0,No,No,1,Yes,dsl,No,No,No,Month-to-month,Mailed check,65.60756321839081,45.3,0
9367-WXLCH,male,0,No,No,8,Yes,fiber optic,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,662.65,1
5524-KHNJP,male,0,Yes,Yes,33,Yes,dsl,Yes,No,Yes,One year,Credit card (automatic),65.60756321839081,2453.3,0
1918-ZBFQJ,female,0,No,No,13,Yes,fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,1111.65,1
1024-GUALD,female,0,Yes,No,1,Yes,dsl,No,No,No,Month-to-month,Electronic check,65.60756321839081,24.8,1
4827-USJHP,male,0,No,No,20,Yes,dsl,No,No,No,Month-to-month,Mailed check,65.60756321839081,1023.85,0
8167-GJLRN,male,0,No,No,3,Yes,dsl,No,Yes,No,Month-to-month,Electronic check,65.60756321839081,82.15,0
0956-SYCWG,female,0,No,No,13,Yes,no,No,No,No,One year,Electronic check,65.60756321839081,244.8,0
8017-UVSZU,female,0,Yes,No,40,Yes,dsl,No,No,No,Month-to-month,Credit card (automatic),65.60756321839081,2379.1,0
7100-FQPRV,male,0,Yes,Yes,43,Yes,dsl,Yes,Yes,No,One year,Credit card (automatic),65.60756321839081,3173.35,0
2472-OVKUP,male,0,Yes,No,6,Yes,fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,531.0,1
2984-RGEYA,female,0,Yes,Yes,69,Yes,no,No,No,No,Two year,Bank transfer (automatic),65.60756321839081,1375.4,0
9680-NIAUV,female,0,Yes,Yes,72,Yes,fiber optic,Yes,No,Yes,Two year,Credit card (automatic),65.60756321839081,8129.3,0
2146-EGVDT,male,0,Yes,Yes,59,Yes,no,No,No,No,Two year,Credit card (automatic),65.60756321839081,1192.7,0
2604-IJPDU,female,0,Yes,No,20,Yes,fiber optic,Yes,Yes,Yes,Month-to-month,Electronic check,65.60756321839081,1901.65,0
9178-JHUVJ,male,0,Yes,Yes,24,Yes,no,No,No,No,Two year,Bank transfer (automatic),65.60756321839081,587.4,0
6168-YBYNP,male,0,No,No,59,Yes,fiber optic,No,Yes,Yes,Month-to-month,Electronic check,65.60756321839081,6519.75,0
7255-SSFBC,male,0,Yes,Yes,72,Yes,fiber optic,No,Yes,Yes,Two year,Bank transfer (automatic),65.60756321839081,8041.65,0
3645-DEYGF,male,0,No,Yes,1,Yes,no,No,No,No,Month-to-month,Mailed check,65.60756321839081,20.75,0
9323-HGFWY,female,0,Yes,No,27,Yes,fiber optic,Yes,Yes,Yes,One year,Credit card (automatic),65.60756321839081,2681.15,0
8544-GOQSH,female,0,No,No,14,Yes,fiber optic,No,Yes,No,Month-to-month,Credit card (automatic),65.60756321839081,1112.3,0
3363-DTIVD,male,0,Yes,Yes,71,Yes,fiber optic,Yes,No,Yes,Two year,Electronic check,65.60756321839081,7405.5,0
7018-WBJNK,male,0,No,Yes,13,Yes,fiber optic,No,No,Yes,Month-to-month,Credit card (automatic),65.60756321839081,1033.95,0
9142-KZXOP,male,0,No,No,44,Yes,fiber optic,No,No,No,Month-to-month,Credit card (automatic),65.60756321839081,2958.95,0
7674-YTAFD,female,0,No,No,33,Yes,fiber optic,No,Yes,No,One year,Bank transfer (automatic),65.60756321839081,2684.85,0
6348-SNFUS,male,0,Yes,Yes,72,Yes,dsl,Yes,Yes,No,Two year,Credit card (automatic),65.60756321839081,4179.2,0
1285-OKIPP,male,0,No,No,1,Yes,fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,79.9,1
7825-ECJRF,female,0,No,No,19,Yes,fiber optic,Yes,Yes,Yes,Month-to-month,Electronic check,65.60756321839081,1934.45,1
1347-KTTTA,male,0,Yes,No,64,Yes,fiber optic,No,Yes,Yes,One year,Credit card (automatic),65.60756321839081,6654.1,0
7841-TZDMQ,male,0,No,No,2,Yes,dsl,No,No,No,Month-to-month,Credit card (automatic),65.60756321839081,84.5,1
4195-NZGTA,female,0,No,No,1,Yes,dsl,No,No,No,Month-to-month,Electronic check,65.60756321839081,25.25,0
7157-SMCFK,male,0,No,Yes,61,Yes,no,No,No,No,Two year,Mailed check,65.60756321839081,1124.2,0
4709-LKHYG,female,0,Yes,Yes,29,Yes,no,No,No,No,One year,Electronic check,65.60756321839081,540.05,0
2504-DSHIH,male,1,Yes,No,23,Yes,fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,1975.85,0
0699-NDKJM,female,0,Yes,No,57,Yes,dsl,Yes,No,Yes,Month-to-month,Bank transfer (automatic),65.60756321839081,3437.45,0
9286-BHDQG,male,0,Yes,Yes,72,Yes,dsl,Yes,Yes,No,Two year,Credit card (automatic),65.60756321839081,3139.8,0
0230-WEQUW,male,0,Yes,No,66,Yes,dsl,Yes,Yes,Yes,Two year,Bank transfer (automatic),65.60756321839081,3789.2,0
2040-LDIWQ,male,0,Yes,Yes,65,Yes,dsl,No,Yes,Yes,Two year,Bank transfer (automatic),65.60756321839081,5324.5,0
6496-JDSSB,female,0,No,No,8,Yes,fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),65.60756321839081,624.6,0
9408-SSNVZ,female,0,No,No,4,Yes,fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,268.35,1
4443-EMBNA,female,0,Yes,No,71,Yes,no,No,No,No,Two year,Bank transfer (automatic),65.60756321839081,1836.9,0
6469-MRVET,male,0,Yes,Yes,1,Yes,no,No,No,No,One year,Electronic check,65.60756321839081,20.2,0
